p__Euryarchaeota	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Cyanobacteria	p__Elusimicrobia	p__Firmicutes	p__Fusobacteria	p__Lentisphaerae	p__Proteobacteria	p__Tenericutes	p__Verrucomicrobia
L.022.M1	0.0104308699209163	0.0103286064903191	0.159258249250068	0.13638532860649	0	0.0016362148895555	0.592752931551677	0.000170439050995364	0.00170439050995364	0.0508590128170166	0.00681756203981456	0.00685164985001364
CS.037	0	0.0112310385064177	0.0378500583430572	0.394909568261377	0	0	0.468859393232205	0	0	0.0870770128354726	3.64644107351225e-05	3.64644107351225e-05
CS.259	0.000120977498185338	0.0461865204183133	0.0383364249805092	0.327311342312552	0.000120977498185338	0	0.382060381213539	1.34419442428153e-05	8.06516654568917e-05	0.204720810818077	0.000914052208511439	0.000134419442428153
CS.066	3.87251674863494e-05	0.0029043875614762	0.0565387445300701	0.444758548580723	0.00906168919180575	0	0.461023118924989	0	0	0.0252488092010998	0.000154900669945398	0.000271076172404446
CS.186	0.00154326526217565	0.00204572371962818	0.129311273014392	0.198183971575207	0	0.00362487887162186	0.559487492373398	0.00556293292179593	0	0.0886839177403725	0.00118436636399526	3.58898898180383e-05
CS.060	3.19172704350324e-05	0.000287255433915292	0.0274169353036928	0.391018480099582	6.38345408700648e-05	0.000159586352175162	0.573298011554052	0	0	0.0046280042130797	6.38345408700648e-05	0.00303214069132808
CS.154	0	0	0.034984961215767	0.37441823650467	0	0	0.529491847395916	0.0281146113661548	0	0.0329903435174925	0	0
CS.042	0	0.000110807416709758	0.173118120706213	0.272623180911576	0	0	0.515476102533796	7.3871611139839e-05	0.000258550638989436	0.0381916229592967	0	0
CS.290	0	8.32616358136049e-05	0.0573395131969693	0.325455857456079	0	0	0.576323166162471	2.7753878604535e-05	0	0.0407565707307596	0	1.38769393022675e-05
CS.301	0.000352340125667978	0.00538786775500617	0.0914616242879793	0.353044805919314	0	0	0.499926595807152	0	0.00215808326971637	0.0469933642609666	0.00032297844852898	0.00032297844852898
CS.388	0	0	0.0468996321597478	0.386291979171643	0	0	0.47176706635456	0.0503869488367649	0	0.0446543734772847	0	0
CS.171	0	0.000290877358833582	0.0679562229574956	0.396574919099735	0	0	0.502781514743846	0.000109079009562593	0.000763553066938152	0.0313056757444642	0.000181798349270989	0
CS.073	0.000235460324935248	0.000117730162467624	0.130445020014128	0.237579467859666	0	0	0.587355780550977	0	0.000824111137273369	0.0434424299505533	0	0
CS.050	3.3208248929034e-05	0.00112908046358715	0.199847242054926	0.205027728887856	0	0.000863414472154883	0.569455052635075	0.000398498987148408	6.64164978580679e-05	0.0229136917610334	3.3208248929034e-05	0.000232457742503238
CS.064	0.00453057545424356	0.0491010009962522	0.149793633474074	0.127377959106219	0	0	0.641135727501305	2.37202903363537e-05	0.00142321742018122	0.0245267802077897	0.00113857393614498	0.000948811613454149
CS.334	0	0.00863140849550357	0.00556631871150565	0.294581152589423	1.44579706792355e-05	0	0.687765665211231	0	0	0.00344099702165804	0	0
CS.305	0.00244525057100631	0.0176407362622598	0.0515114873035067	0.276098347440548	0	0.000429934166330781	0.597111379819965	1.34354426978369e-05	0.0287652828160688	0.0221281741233374	0.000618030364100497	0.00319763536208518
CS.366	0	4.97030244290365e-05	0.0838241506995701	0.455677327965407	0	0	0.440766420636696	4.97030244290365e-05	0	0.0196326946494694	0	0
CS.224	0	0	0.044092929013838	0.425042020676475	0	0	0.518454560106836	2.30250282056596e-05	0	0.0123644401464392	0	0
CS.292	0.000836986847349542	0.000358708648864089	0.0550418493423675	0.277042646472698	0	7.97130330809087e-05	0.652012754085293	3.98565165404544e-05	0	0.0145874850538063	0	0
CS.136	0	3.69344413665743e-05	0.0858725761772853	0.276749769159741	0	0	0.59460757156048	0.000554016620498615	0.0014404432132964	0.0261495844875346	0	0.0144783010156971
CS.126	1.85113196719794e-05	7.40452786879177e-05	0.0482404990651784	0.283797041891116	1.85113196719794e-05	1.85113196719794e-05	0.632050498880065	9.25565983598971e-05	0.000536828270487403	0.0209548138686807	0.000814498065567094	0.0133836841228411
CS.376	0	0	0.0624985005158226	0.349079916508721	0	0	0.573642666922579	4.79834936781747e-05	0	0.0145150068376478	0	0.000215925721551786
CS.375	3.8768705900597e-05	3.8768705900597e-05	0.206714739861983	0.248429867411026	0	0	0.527642087307126	3.8768705900597e-05	0.000155074823602388	0.0168256183608591	0	0.000116306117701791
CS.041	0	0.00010148849797023	0.0192489851150203	0.393741542625169	0	0	0.565933694181326	0.00429634641407307	6.765899864682e-05	0.0164073071718539	3.382949932341e-05	0
CS.302	0	3.63191728913694e-05	0.117093013401775	0.289149041779155	0	0	0.512294040023729	4.84255638551591e-05	0	0.0813428408857036	0	0
CS.236	0	0.00259327864514422	0.163006086266208	0.0383699391373379	0	0	0.782376290023816	0	0	0.0127017729558084	0	5.29240539825351e-05
CS.378	4.52304491383599e-05	4.52304491383599e-05	0.0568999050160568	0.271699307974128	0	0	0.583698946130535	0	0	0.0144285132751368	0	0.0731828667058664
