p__Euryarchaeota	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Elusimicrobia	p__Firmicutes	p__Fusobacteria	p__Lentisphaerae	p__Proteobacteria	p__Tenericutes	p__Verrucomicrobia
T.CS.035	4.30533430920911e-05	0.0321177939467	0.0713178628320489	0.358935721358764	0.010418909028286	0.481723855857407	0	0.0012270202781246	0.0402118224480131	0.00383174753519611	2.15266715460456e-05
T.CS.028	0	0.0206953225887601	0.0833179599845707	0.323980746977041	0	0.532543981753233	1.67709259228202e-05	0.00211313666627535	0.034514565549164	0.00164355074043638	0.00112365203682895
T.CS.059	0.000130753138075314	0.00523012552301255	0.0638075313807531	0.258237447698745	6.53765690376569e-05	0.612709205020921	0.00143828451882845	0.00176516736401674	0.0469403765690377	0.000523012552301255	0.00882583682008368
T.CS.041	0	0.00856586632057106	0.0426670992861778	0.294905905256327	0	0.546950032446463	0.0618429591174562	0.0009085009733939	0.0310837118754056	0.00171966255678131	0.0113562621674238
T.CS.040	0.000563348543744014	0	0.0655174356374289	0.255478564587911	0	0.569827051997071	0.00461945805870092	0.00123936679623683	0.102698439524534	0	5.63348543744014e-05
T.CS.079	0	5.14588586425153e-05	0.0368960016466835	0.348376473009829	2.57294293212577e-05	0.560232594041064	0.0236453455462358	0	0.0307723974682242	0	0
T.CS.114	0.00103492198280437	0.00658104235219191	0.0268283621696211	0.114478293174822	0.00427237023670523	0.736811378834519	0.000185755227682836	0.00931429784523936	0.0684906060927715	0.0320029720836429	0
T.CS.180	6.09180347841979e-05	0.000517803295665682	0.324510371295422	0.129359446864244	0	0.479120343577716	0	0.00584813133928299	0.0165697054613018	0.0307636075660199	0.013249672565563
T.CS.153	0.0123221517205535	0.00381142127032938	0.0861900946358577	0.135608636334106	0.000779608896203738	0.559564285250233	0.000173246421378608	0.00450440695584382	0.192823266994391	0.00402797929705265	0.000194902224050934
T.CS.121	0	0.000352750653390415	0.0716244167588629	0.34505427549826	0	0.511103628521494	0	0.0301441467442718	0.0308977504128786	0.000994115477736624	0.00979684769188834
T.CS.124	0.000981682693380335	0.0371923874969322	0.0671113986747284	0.173066196648892	4.4621940608197e-05	0.690948439347627	0	0.00319046875348609	0.0246313112157248	0.00229802994132215	2.23109703040985e-05
T.CS.128	0.066231684981685	0.0129120879120879	0.0797847985347985	0.199221611721612	0	0.532051282051282	0	0.0127289377289377	0.0942307692307692	0.00242673992673993	0.000412087912087912
T.CS.144	0	0.0222791480641148	0.030344726633975	0.300007319036815	0	0.482602649491327	0	0.000190294957183635	0.16381468198785	0.000761179828734539	0
T.CS.125	2.57168574000257e-05	0.0016973125884017	0.0553169602674553	0.273987398739874	0.00054005400540054	0.519429085765719	0.00609489520380609	0.000154301144400154	0.142754275427543	0	0
T.CS.139	0.00175710830176624	0.0187462918168956	0.0260941992606453	0.308543653872484	1.14097941673132e-05	0.539626215143079	2.28195883346264e-05	0.000753046415042673	0.102517000593309	0.00180274747843549	7.98685591711925e-05
